ID,Title,Translation_language,Moderation_state
5106,"Vaša emotivna veza sa bebom je ključ njenog razvoja!",me-cnr,draft
5111,"Ako znate šta bebi treba i to joj pružate, vi ste uspešan roditelj.",me-cnr,draft
5116,"Vaša ljubav, toplina i brižnost su emotivna hrana za bebu",me-cnr,draft
5121,"Isplanirajte dan i držite se plana, to voli i vaša beba!",me-cnr,draft
5126,"Nasmejana beba i nasmejan roditelj su znak dobrobiti i zdravlja.",me-cnr,draft
5131,"Jasne granice za dete nisu ograničenja već podrška.",me-cnr,draft
5136,"Emotivna veza sa bebom je osnova plodnog roditeljstva!",me-cnr,draft
5141,"Kada se vi dobro osećate, dobro je i vaše dete.",me-cnr,draft
5146,"Uz vašu podršku svet je za vaše dete prijateljski i predvidiv.",me-cnr,draft
5151,"I danas je dobar dan da se mazite sa vašom bebom!",me-cnr,draft
5156,"Ne strahujte, nežnošću nećete razmaziti dete!",me-cnr,draft
5161,"Kroz jasne granice dete uči kako svet funkcioniše!",me-cnr,draft
5166,"Usklađen dnevni ritam je sigurnost i za vas i za vašu bebu.",me-cnr,draft
5171,"Samo ostvariv cilj je dobar cilj! Budite realni!",me-cnr,draft
5176,"Normalno je da se nekada osećate umorno i iscrpljeno!",me-cnr,draft
5181,"Zaljubljeni ste u svoju bebu? To je očekivano i normalno!",me-cnr,draft
5186,"Ne odustajte od svojih potreba, one su vaša životna energija!",me-cnr,draft
5191,"Uživajte u svojim roditeljskim ljubavima!",me-cnr,draft
5196,"Prepustite se razigranom roditelstvu i uživajte!",me-cnr,draft
5201,"Ne morate svakog dana da ostvarite sve što ste zamislili.",me-cnr,draft
5206,"Podržite svoje dete da samo postiže svoje ciljeve!",me-cnr,draft
5211,"Vežbajte svakog dana, kondicija je ključ vašeg mentalnog zdravlja.",me-cnr,draft
5216,"Stres se ne može izbeći, ali možete da upravljate njime.",me-cnr,draft
5221,"Ne odustajte od svojih ambicija. Ostvareni mama i tata su dobar model.",me-cnr,draft
5226,"Zaronite u čaroliju igre zajedno sa svojim detetom!",me-cnr,draft
5231,"Igra je čarobni svet detinjstva!",me-cnr,draft
5236,"Nekada je važno da se pobrinete prvo za sebe, pa onda za dete.",me-cnr,draft
5241,"Skladan porodični ritam doprinosi da svi članovi budu zadovoljni.",me-cnr,draft
5246,"Mreža podrške je važan deo svakog roditeljstva.",me-cnr,draft
5251,"Imajte na umu: ništa nije uspešno kao uspeh!",me-cnr,draft
