ID,Title,Translation_language,Moderation_state
5106,"Vaša emotivna veza sa bebom je ključ njenog razvoja!",rs-sr,published
5111,"Ako znate šta bebi treba i to joj pružate, vi ste uspešan roditelj.",rs-sr,published
5116,"Vaša ljubav, toplina i brižnost su emotivna hrana za bebu",rs-sr,published
5121,"Isplanirajte dan i držite se plana, to voli i vaša beba!",rs-sr,published
5126,"Nasmejana beba i nasmejan roditelj su znak dobrobiti i zdravlja.",rs-sr,published
5131,"Jasne granice za dete nisu ograničenja već podrška.",rs-sr,published
5136,"Emotivna veza sa bebom je osnova plodnog roditeljstva!",rs-sr,published
5141,"Kada se vi dobro osećate, dobro je i vaše dete.",rs-sr,published
5146,"Uz vašu podršku svet je za vaše dete prijateljski i predvidiv.",rs-sr,published
5151,"I danas je dobar dan da se mazite sa vašom bebom!",rs-sr,published
5156,"Ne strahujte, nežnošću nećete razmaziti dete!",rs-sr,published
5161,"Kroz jasne granice dete uči kako svet funkcioniše!",rs-sr,published
5166,"Usklađen dnevni ritam je sigurnost i za vas i za vašu bebu.",rs-sr,published
5171,"Samo ostvariv cilj je dobar cilj! Budite realni!",rs-sr,published
5176,"Normalno je da se nekada osećate umorno i iscrpljeno!",rs-sr,published
5181,"Zaljubljeni ste u svoju bebu? To je očekivano i normalno!",rs-sr,published
5186,"Ne odustajte od svojih potreba, one su vaša životna energija!",rs-sr,published
5191,"Uživajte u svojim roditeljskim ljubavima!",rs-sr,published
5196,"Prepustite se razigranom roditelstvu i uživajte!",rs-sr,published
5201,"Ne morate svakog dana da ostvarite sve što ste zamislili.",rs-sr,published
5206,"Podržite svoje dete da samo postiže svoje ciljeve!",rs-sr,published
5211,"Vežbajte svakog dana, kondicija je ključ vašeg mentalnog zdravlja.",rs-sr,published
5216,"Stres se ne može izbeći, ali možete da upravljate njime.",rs-sr,published
5221,"Ne odustajte od svojih ambicija. Ostvareni mama i tata su dobar model.",rs-sr,published
5226,"Zaronite u čaroliju igre zajedno sa svojim detetom!",rs-sr,published
5231,"Igra je čarobni svet detinjstva!",rs-sr,published
5236,"Nekada je važno da se pobrinete prvo za sebe, pa onda za dete.",rs-sr,published
5241,"Skladan porodični ritam doprinosi da svi članovi budu zadovoljni.",rs-sr,published
5246,"Mreža podrške je važan deo svakog roditeljstva.",rs-sr,published
5251,"Imajte na umu: ništa nije uspešno kao uspeh!",rs-sr,published
5256,"Greške i neuspesi su uvek dobre lekcije.",rs-sr,published
5261,"Vaša snaga je u vama, a podrška spolja je uvek dobrodošla.",rs-sr,published
5266,"Koristite svaku priliku za igru sa svojom bebom!",rs-sr,published
5271,"Naša porodica je naše sigurno mesto!",rs-sr,published
5276,"Uspeh se ostvaruje kroz realne i ostvarive ciljeve.",rs-sr,published
5281,"Normalno je nekada potražiti podršku stručnjaka!",rs-sr,published
5286,"Da vas podsetimo: u svakom od nas još uvek živi naše dete!",rs-sr,published
5291,"Oživite sećanja iz detinjstva i uživajte u maštarijama!",rs-sr,published
5296,"Samo snažan roditelj je dobra podrška za dete!",rs-sr,published
5301,"Ne propuštajte svakodnevne prilike za razmenu sa bebom!",rs-sr,published
5306,"Vaša snaga je u prilagodljivosti!",rs-sr,published
5311,"Učenje na greškama je jednako vredno!",rs-sr,published
5316,"Svaki dan je dobar za igru sa detetom!",rs-sr,published
5321,"Divno je imati podršku porodice u roditeljstvu.",rs-sr,published
5326,"Roditeljski savez gradi se komunikacijom, timskim radom i uvažavanjem!",rs-sr,published
5331,"Svakog dana dajte sve od sebe da budete podržavajući roditelj!",rs-sr,published
5336,"Svakog dana dajte sve od sebe da budete podržavajući partner/partnerka.",rs-sr,published
5341,"Jake porodice nastaju iz ljubavi i poverenja, ponekog pravila i rutine.",rs-sr,published
5346,"Vreme koje provodite zajedno je najdragoceniji dar za sve!",rs-sr,published
5351,"Vaša snaga je u tome što slušate sebe i druge bez suđenja!",rs-sr,published
