ID,Title,Body,Child_age,Related_articles,Related_video_articles,Related_activities,Translation_language,Moderation_state
2781,Аз волидон осонтар ҷудо мешавад,"<p>Раванди ҷудошавӣ аз волидонро кӯдак осонтар қабул мекунад. Ӯ зудтар ором шуда, ба шахсе, ки ҳангоми рафтани волидон дар наздаш ҳастанд, такя карданро ёд мегирад.</p>",,6796,6796,,tj-tg,published
2786,Ба фаҳмидани маънои калимаи “не” шурӯъ мекунад.,"<p>Ба фаҳмидани маънои калимаи “не” шурӯъ мекунад.  Вақте, ки ӯ ин калимаро мешунавад, кори худро хотима медиҳад ва ғайриқобили қабул будани рафторашро эътироф менамояд.</p>",,6476,6476,,tj-tg,published
2791,"Бо таври кӯдакона гап мезанад, якчанд ҳиҷоҳоро якҷоя мекунад ва овозҳои гуногун мебарорад.","<p>Бо тарзи кӯдакона гап мезанад, якчанд ҳиҷоҳоро якҷоя мекунад ва садоҳои зиёд мебарорад. Ӯ якчанд таркиби садоҳо ва ҷуфтҳои ҳамсадо ва садонокҳои гуногунро истифода мебарад, мекӯшад садоҳоеро, ки калонсолон талаффуз мекунанд, такрор кунад ё тақлид намояд.</p>",,6451,6451,,tj-tg,published
2796,Ба зинопоя баромада ва фаромада метавонад.,<p>Бо дастгирӣ ба зинапоя баромада ва фаромада метавонад. Бо андак кӯмак ба зинопоя баромада ва фаромада метавонад.</p>,,6626,6626,,tj-tg,published
2801,Бо ҳаракат муошират карданро  оғоз мекунад.,"<p>Бо ҳаракатҳо муошират карданро оғоз мекунад. Вай бо ишораи дасташ ба ашёҳои дилхоҳ ё бо аломати “не” сар ҷунбондан, бо таври шифоҳӣ муошират мекунад.</p>",,6481,6481,,tj-tg,published
2806,Аз пайи ашёи афтидаистода назорат мекунад ва ашёи пинҳоншударо мекобад.,"<p>Аз пайи ашёи афтидаистода мебарад ва ашёи пинҳоншударо  меҷуяд. Агар ашё дар зери пиёла ва ё кӯрпа пинҳон карда шуда бошад, кӯдак кӯшиш мекунад, ки онро пайдо кунад. Вақте, ки ашё меафтад ё модар онро мепартояд, кӯдак ашёи партофташударо бо чашмони худ ҷустуҷӯ менамояд.</p>",,6496,6496,,tj-tg,published
2811,"Дар нӯги пой  истода, давида, парида, тӯпро зада метавонад.","<p>Дар нӯги пой  истода, давида, парида, тӯпро зада ва аз боли сар партофта метавонад.</p>",,6646,6646,,tj-tg,published
2816,Як дасташро назар ба дигараш  бештар истифода мебарад.,<p>Як дастро бештар аз дигараш истифода намуданро шурӯъ мекунад – бо дасти рост ва ё чап.</p>,,6666,6666,,tj-tg,published
2821,Мустақилона хати каҷу килеб дар қоғаз менависад.,"<p>Қаламро қапида ва хатҳои каҷу килеб кашида метавонад, хат ва доираро мекашад ё нусхабардорӣ менамояд.</p>",,6661,6661,,tj-tg,published
2826,Чун пештара ашёҳоро ба даҳон мегузорад.,<p>Чун пештара ашёҳоро ба даҳон мегузорад. Кӯдак ашёҳоро ба воситаи ба даҳон гузоштан таҳқиқ мекунад.</p>,,6456,6456,,tj-tg,published
2831,Ашёҳоро гуруҳбандӣ карда ва ба муқоиса кардани онҳо шурӯъ мекунад.,"<p>Кӯдак метавонад ҳайвонро бо ҳайвон, ҷуробро бо ҷуроб пайваст намояд.</p>",,,,,tj-tg,published
2836,Ашёҳоро оромона аз як даст ба дасти дигар мегузорад ва онҳоро такон медиҳад.,"<p>Ашёҳоро оромона аз як даст ба дасти дигар мегузорад, онҳоро такон медиҳад. Кӯдак ашёҳоро бо роҳи аз чап ба рост ва баръакс гузоштани онҳо идора менамояд.</p>",,6501,6501,,tj-tg,published
